지역,링크아이디,도로명,평균속도
서울특별시 종로구,1000030100,인사동4길,6.1
서울특별시 종로구,1000030200,인사동4길,7.8
서울특별시 종로구,1000030300,종로5길,10.7
서울특별시 종로구,1000030400,종로5길,10
서울특별시 종로구,1000030500,김상옥로,13.9
서울특별시 종로구,1000030600,김상옥로,13
서울특별시 종로구,1000030700,경희궁4길,11.8
서울특별시 종로구,1000030800,경희궁4길,11.6
서울특별시 종로구,1000031100,율곡로,19.8
서울특별시 종로구,1000031200,새문안로3길,12.3
서울특별시 종로구,1000031300,새문안로3길,10.2
서울특별시 종로구,1000031400,경희궁4길,12.8
서울특별시 종로구,1000031500,경희궁4길,12.6
서울특별시 종로구,1000031600,김상옥로,19.5
서울특별시 종로구,1000031700,인사동길,15.4
서울특별시 종로구,1000031800,인사동길,19.2
서울특별시 종로구,1000031900,삼일대로30길,10.6
서울특별시 종로구,1000032000,삼일대로30길,10.2
서울특별시 종로구,1000032100,사직로8길,20.1
서울특별시 종로구,1000032200,사직로8길,18.9
서울특별시 종로구,1000032300,사직로8길,8.9
서울특별시 종로구,1000032400,사직로8길,9
서울특별시 종로구,1000032500,새문안로3길,7.5
서울특별시 종로구,1000032600,새문안로3길,8.5
